Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block Annetta St,,,1,,,,,1
100 block Archer Rd,,,,1,,,,1
100 block Armstrong Pl,1,,,2,,,,3
100 block Arnett Av,,,,1,,,,1
100 block Arnts Pl,,,,1,,,,1
100 block Arsenal Dr,,,1,,,,,1
100 block Ash St,,,,1,,,,1
100 block Avery Av,,,1,,,,,1
100 block Avon Rd,,,,1,,,,1
100 block Avondale Pl,,,2,,,,,2
100 block Baldwin Av,,,,1,,,,1
100 block Ball Cir,,,,1,,,,1
100 block Ballantyne Rd,3,,1,4,,1,,9
100 block Ballard Av,,,,2,,,,2
100 block Beattie St,,,1,1,,,1,3
100 block Becker St,,,2,,,,,2
100 block Beecher St,,,1,,,,,1
100 block Bellevue Av,,,,1,,1,,2
100 block Benedict Av,,,1,1,,,,2
100 block Berger Av,,,,1,,,1,2
100 block Berkeley Dr,,,,1,,,,1
100 block Berkshire Av,,,,2,,,,2
100 block Berwyn Av,,,,1,,,,1
100 block Bishop Av,,,,1,,,,1
100 block Blaine St,,,1,2,,,,3
100 block Blk Peters St,1,,,,,,,1
100 block Blossom Rd,,,1,1,,,,2
100 block Briggs St,,,1,,,,,1
100 block Bristol Pl,,,,1,,,,1
100 block Broad St,,,,1,,,,1
100 block Bronson St,,,1,,,,,1
100 block Brookford Rd,,,1,,,,,1
100 block Burnet Park Dr,,,1,,,,,1
100 block Burt St,,,,1,,,,1
100 block Cambridge St,,,,1,,,,1
100 block Camp Av,,,,,,1,,1
100 block Cannon St,,,1,,,,,1
100 block Carlisle St,,,,1,,,,1
100 block Centennial Dr,,,,1,,,,1
100 block Chaffee Av,1,,,,,,,1
100 block Chaffee Av  E,,,1,,,,,1
100 block Charmouth Dr,,,,,,,1,1
100 block Cheney St,,1,1,2,,1,,5
100 block Clairmonte Av,,,,,,,1,1
100 block Clarendon St,,,1,4,,,,5
100 block Clarke St,,,,1,,,,1
100 block Cleveland Av,,,,1,,1,,2
100 block Clifton Pl,,,,2,,,,2
100 block Clyde Av,,,,1,,,,1
100 block Colby Av,,,1,2,,,,3
100 block College Pl,,,1,,,,,1
100 block Commonwealth Av,1,,,,,,,1
100 block Comstock Av,,,1,3,,,,4
100 block Comstock Pl,,,2,1,,,1,4
100 block Concord Pl,,,,1,,,,1
100 block Conifer Dr,1,,,,,,,1
100 block Cook Av,,,,1,,,,1
100 block Coolidge Av,2,,2,1,,,,5
100 block Cordova St,,,1,,,,,1
100 block Cortland Av,1,,,,,1,,2
100 block Cortland Pl,1,,,,,,,1
100 block Court Ter,,,,1,,,,1
100 block Craton St,,,,1,,,,1
100 block Crawford Av,,,,1,,,,1
100 block Cresline Dr,,,,2,,,,2
100 block Croly St,4,1,1,3,,,1,10
100 block Croton Ter,,,1,,,,,1
100 block Crouse Dr,,,,1,,,,1
100 block Crysler St,,,,1,,,,1
100 block Culbert St,1,,1,2,,,,4
100 block Curtis St,,,,1,,,,1
100 block Dablon Ct,3,,1,3,,,1,8
100 block Daisy St,,,,1,,,,1
100 block Dakin St,,,,1,,,,1
100 block Dale St,,,,1,,,,1
100 block Danforth Ter,,1,,,,,,1
100 block Darlington Rd,,,,2,,,,2
100 block Davis St,1,,,,,,1,2
100 block Dearborn Pl,2,,3,2,,,,7
100 block Delaware St,,,2,1,,,1,4
100 block Delong Av,2,,1,1,,,,4
100 block Delray Av,,,,1,,,,1
100 block Depalma Av,,,,1,,1,,2
100 block Dewey Av,,,,1,,,,1
100 block Dewitt St,,,,1,,,,1
100 block Dickerson St,8,,,15,,8,,31
100 block Didama St,,,1,,,,,1
100 block Doll Pkwy,,,,2,,,,2
100 block Doroty St,,,,1,,,,1
100 block Duane St,,,,1,,,,1
100 block Dudley St,,,,,,,3,3
100 block Durston Av,,,1,2,,,,3
100 block Dyer Ct,2,,,,,,,2
100 block E Beard Av,,,,1,,,,1
100 block E Bissell St,2,,2,3,,,1,8
100 block E Borden Av,,,,1,,,,1
100 block E Brighton Av,1,,1,,,,,2
100 block E Cheltenham Rd,,,1,,,,,1
100 block E Colvin St,1,,,1,,,,2
100 block E Corning Av,1,,,,,,,1
100 block E Fayette St,,,,1,,,1,2
100 block E Genesee Pkwy,,,,,,,1,1
100 block E Genesee St,,,,1,,,,1
100 block E Jefferson St,,,1,,,1,1,3
100 block E Kennedy St,2,,1,4,,,,7
100 block E Lafayette Av,,,1,1,,,,2
100 block E Matson Av,,,,1,,,,1
100 block E Onondaga St,,,,7,,,,7
100 block E Raynor Av,,,,,,1,,1
100 block E Raynor St,,,,1,,,,1
100 block E Seneca Tpke,,,,1,,,,1
100 block E Warrington Av,,,,1,,,,1
100 block E Warrington Rd,,,,1,,,,1
100 block E Washington St,,,,2,,,,2
100 block E Water St,1,,,3,,,,4
100 block East Av,,,1,1,,,,2
100 block Eastman Av,,,,,,,1,1
100 block Edison St,,,1,,,,,1
100 block Edmund Av,,,1,1,,,,2
100 block Edna Rd,,,3,,,,,3
100 block Edtim Rd,,,3,1,,,1,5
100 block Elizabeth Blackwell St,,,,1,,,,1
100 block Elk St,,,,,,,1,1
100 block Elliott St,,,,1,,,,1
100 block Elmhurst Av,1,,,3,,,,4
100 block Elmwood Av,,1,,,,,,1
100 block Eloise Ter,,,1,1,,,,2
100 block Elsner St,,,1,,,,,1
100 block Emerson Av,,,,2,,,,2
100 block Erickson St,,,,1,,,,1
100 block Erie Blvd E,,,,1,,,,1
100 block Ethel St,,,1,,,,,1
100 block Eureka St,,,,3,,,1,4
100 block Fage Av,,,1,,,1,,2
100 block Fairview Av,,,1,,,,,1
100 block Feigel Av,,,,1,,,,1
100 block Fellows Av,,,,5,,,,5
100 block Fenton St,,,1,1,,,1,3
100 block Fenway Dr,,,1,1,,,,2
100 block Fernwood Av,3,,1,1,,1,,6
100 block Fillmore Av,1,,1,,,,,2
100 block Fiscoe Av,,,,1,,,,1
100 block Fish Av,,,,1,,,,1
100 block Fobes Av,1,,,,,,1,2
100 block Ford Av,1,,,,,1,,2
100 block Fordham Rd,,,,1,,,2,3
100 block Frisbie Ct,1,,,1,,,1,3
100 block Furman St,,,1,1,,,,2
100 block Genesee Park Dr,,,,1,,,,1
100 block Gertrude St,1,,,2,,,,3
100 block Gifford Pkwy,,,1,,,,,1
100 block Gifford St,2,1,,,,,,3
100 block Glahn Av,,,,,,,1,1
100 block Glenwood Av,1,,,,,,,1
100 block Goodrich Av,,,,1,,,,1
100 block Gordon Av,,,,,,,1,1
100 block Gorland Av,,,1,,,,,1
100 block Grace St,,,1,,,,1,2
100 block Grand Av,,1,2,,,,,3
100 block Granger St,1,,,,,,,1
100 block Grant Av,,,1,,,,1,2
100 block Grassman Av,1,,1,,,,,2
100 block Graves St,,,,1,,,,1
100 block Gray Av,,,,1,,,,1
100 block Green St,,,1,1,,,1,3
100 block Greenland Dr,,,1,1,,,,2
100 block Griffin St,,,,1,,,,1
100 block Griffiths St,1,,,1,,3,,5
100 block Grove St,,,,,,,1,1
100 block Haffenden Rd,,,,1,,,,1
100 block Hampshire Rd,,,,1,,,,1
100 block Hampton Rd,,,,1,,,,1
100 block Hancock Dr,,,,,,,1,1
100 block Harbor St,,,,2,,,,2
100 block Harborside Dr,,,,1,,,,1
100 block Harding St,,,,1,,,,1
100 block Harrison Pl,,,,1,,,,1
100 block Harrison St,,,,1,,,,1
100 block Hartson St,2,,1,2,,1,,6
100 block Harwood Av,,,,2,,,,2
100 block Hastings Pl,,,,1,,,,1
100 block Hatch St,,,,,,,2,2
100 block Hatherly Rd,,,,1,,,,1
100 block Hawley Av,1,,,,,,,1
100 block Hayden Av,,,,1,,,,1
100 block Headson Dr,,,,2,,,,2
100 block Helen St,,,1,,,,,1
100 block Henry St,,,,3,,,,3
100 block Herbert St,1,,,,,,,1
100 block Herbst St,1,,,,,,,1
100 block Herkimer St,,,,1,,,,1
100 block Herriman St,,,,1,,,,1
100 block Hertford St,,,,1,,,,1
100 block Herz St,,,,3,,,,3
