Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
1200 block Grant Blvd,,,2,,,,,2
1200 block Harrison St,,,4,5,,,1,10
1200 block Highland St,,,1,,,,,1
1200 block Ivy Ridge Rd,,,,1,,,,1
1200 block James St,,,1,,,,2,3
1200 block Lemoyne Av,,,,1,,,,1
1200 block Madison St,1,,4,3,,,,8
1200 block Midland Av,1,,,,,,,1
1200 block Milton Av,3,2,6,3,,1,,15
1200 block N Salina St,,,,2,,,,2
1200 block N State St,1,,3,,,1,,5
1200 block Park St,1,,,1,,1,1,4
1200 block S Geddes St,2,,,2,,1,,5
1200 block S Salina St,,,,1,,,,1
1200 block S State St,2,,,3,,,,5
1200 block Salt Springs Rd,,,,1,,,,1
1200 block South Av,2,,,6,,,,8
1200 block Spring St,,,1,,,,,1
1200 block Teall Av,,,,1,,,,1
1200 block W Fayette St,,,,,,,1,1
1200 block W Genesee St,,,,2,,,,2
1200 block W Onondaga St,,,,1,,,,1
1200 block W Onondage St,,,1,,,,,1
1200 block Westcott St,,,,1,,,,1
1200 block Willis Av,,,,1,,1,1,3
1200 block Wolf St,,,1,,,,,1
1300 block Bellevue Av,,,1,,,,,1
1300 block Burnet Av,,,3,,,,,3
1300 block Butternut St,3,,3,3,,2,1,12
1300 block Court St,,,,1,,,,1
1300 block E Adams St,,,1,4,,,,5
1300 block E Fayette St,,,,1,,2,,3
1300 block E Genesee St,,,2,,,,,2
1300 block E Water St,,,,1,,,,1
1300 block Erie Blvd W,,,1,,,,,1
1300 block Euclid Av,,,,2,,,,2
1300 block First North St,,,,2,,,,2
1300 block Grant Blvd,,,,1,,,,1
1300 block Highland St,1,,,,,,,1
1300 block Lancaster Av,,,,1,,,,1
1300 block Lodi St,,,,1,,,,1
1300 block Madison St,,,,1,,,,1
1300 block Midland Av,,,,,,,1,1
1300 block N Salina St,,,,1,,1,,2
1300 block Northcliff Rd,,,,1,,,,1
1300 block Oak St,,,,,,1,1,2
1300 block S State St,2,,,,,1,,3
1300 block Salt Springs Rd,,,,,,2,,2
1300 block Spring St,1,,,,,,,1
1300 block Stolp Av,,,1,,,,,1
1300 block Teall Av,,,,1,,,,1
1300 block W Colvin St,,,,1,,,,1
1300 block W Fayette Sch,,,,1,,,,1
1300 block W Fayette St,1,,,,,,,1
1300 block W Onondaga St,,,,1,,,,1
1300 block Willis Av,,,1,,,1,,2
1400 block Burnet Av,,,3,2,,,,5
1400 block Butternut St,1,,,,,,,1
1400 block Comstock Av,,,,,,,1,1
1400 block E Fayette St,,,,2,,,,2
1400 block E Genesee St,,,3,,,,,3
1400 block E Washington St,,,,1,,,,1
1400 block Euclid Av,,,1,,,,,1
1400 block Grant Blvd,,,,1,,,,1
1400 block Hawley Av,,,,1,,1,,2
1400 block Lemoyne Av,,,,,,1,,1
1400 block Lodi St,1,,,2,,,,3
1400 block Midland Av,1,,2,1,,1,1,6
1400 block N Salina St,1,,1,,,,,2
1400 block N State St,,,1,1,,,,2
1400 block Oak St,,,1,,,1,,2
1400 block Park St,,,,2,,,,2
1400 block S Mcbride St,,,,1,,,,1
1400 block S Salina St,3,,,7,,1,,11
1400 block S State St,2,,,,,,,2
1400 block Salt Springs Rd,,,,1,,,,1
1400 block Valley Dr,,,,1,,,,1
1400 block W Colvin St,,,,,,1,,1
1400 block W Genesee St,2,,,1,,,,3
1400 block W Genseee St,,,,1,,,,1
1500 block Bellevue Av,,,,2,,,,2
1500 block Burnet Av,,,,2,,,,2
1500 block Caleb Av,1,,,1,,,,2
1500 block Comstock Av,,,,1,,,,1
1500 block E Fayette St,,,,1,,,,1
1500 block E Genesee St,2,,1,2,,,,5
1500 block Glenwood Av,,,,1,,,,1
1500 block Ivy Ridge Rd,,,2,,,,,2
1500 block Lemoyne Av,,,,1,,,,1
1500 block Lodi St,,,2,2,,1,,5
1500 block Meadowbrook Dr,,,1,,,,,1
1500 block Midland Av,1,,,1,,,,2
1500 block N Salina St,,,,2,,1,1,4
1500 block N State St,,,,,,,1,1
1500 block Park St,,,1,,,,,1
1500 block S Geddes St,,,,3,,,,3
1500 block S Salina St,,,,,,1,,1
1500 block S State St,,,,2,,,,2
1500 block Salt Springs Rd,,,,1,,,,1
1500 block South Av,,,,1,,,,1
1500 block Spring St,1,,,,,,,1
1500 block Valley Dr,,,2,,,,,2
1500 block W Genesee St,,,1,4,,1,1,7
1500 block W Onondaga St,,,,2,,,,2
1600 block Bellevue Av,2,,,,,,1,3
1600 block Butternut St,,,1,,,,,1
1600 block Court St,,,,1,,1,,2
1600 block E Fayette St,,,,,,,1,1
1600 block E Genesee St,,,,,,1,,1
1600 block Erie Blvd E,,,1,6,,1,,8
1600 block Grant Blvd,,,3,2,,,,5
1600 block Hawley Av,,,,2,,,1,3
1600 block James St,,,1,3,,,,4
1600 block Lodi St,,,2,2,,,,4
1600 block Meadowbrook Dr,,,,1,,,,1
1600 block N Salina St,,,,1,,,,1
1600 block Park St,,,,3,,,,3
1600 block S Geddes St,,,,2,,1,,3
1600 block Saltsprings Rd,,,,1,,,,1
1600 block South Av,,,,2,,,,2
1600 block Spring St,,,1,1,,,1,3
1600 block W Colvin St,1,,,,,,1,2
1600 block W Fayette St,,,,1,,,,1
1600 block W Genesee St,2,,2,2,,,,6
1600 block W Onondaga St,,,,2,,,,2
1700 block Bellevue Av,,,1,,,,,1
1700 block Burnet Av,,,,,,1,,1
1700 block Butternut St,,,,1,,,,1
1700 block Erie Blvd E,,,,1,,,,1
1700 block Grant Blvd,,,,9,,,,9
1700 block Lodi St,,,1,,,1,,2
1700 block Meadowbrook Dr,,,1,2,,,,3
1700 block N Salina St,,,,3,,,,3
1700 block Park St,1,,,2,,,,3
1700 block S Salina St,,,1,2,,1,,4
1700 block S State St,,,1,,,,,1
1700 block Valley Dr,,,,1,,,,1
1700 block W Onondaga St,1,,2,1,,,,4
1800 block Bellevue Av,1,,1,,,,,2
1800 block Burnet Av,,,,3,,,,3
1800 block Butternut St,,,,,,1,,1
1800 block E Fayette St,2,1,1,4,,1,,9
1800 block Euclid Av,,,,1,,,,1
1800 block Grant Blvd,1,,1,2,,,,4
1800 block James St,,,,1,,,,1
1800 block Lodi St,,1,,1,,,,2
1800 block Midland Av,1,,1,1,,,,3
1800 block S Salina St,1,,,1,,,,2
1800 block S State St,,,2,,,1,,3
1800 block South Av,,,,1,,,,1
1800 block Teall Av,,,,1,,,,1
1800 block W Fayette St,,,,1,,,,1
1800 block W Genesee St,,,2,4,,,,6
1900 block Bellevue Av,,,,1,,,,1
1900 block Caleb Av,,,2,,,,,2
1900 block E Fayette St,1,,2,,,,,3
1900 block E Genesee St,,,4,,,,,4
1900 block Erie Blvd E,,,,2,,,,2
1900 block Euclid Av,,,,1,,,,1
1900 block Glenwood Av,,,1,2,,,,3
1900 block Grant Blvd,,,,2,,,,2
1900 block S Salina St,,1,,,,,,1
1900 block South Av,,,3,,,,,3
1900 block Valley Dr,,,1,1,,,,2
1900 block W Fayette St,1,,,1,,,,2
1900 block W Genesee St,,,2,1,,,1,4
200 block 8Th Av,,,,1,,,,1
200 block Academy Pl,,,1,1,,,,2
200 block Apple St,1,,,,,,,1
200 block Arch St,,,,1,,,,1
200 block Arden Dr,,,,1,,,,1
200 block Ardmore Rd,,,,1,,,,1
200 block Arlington Av,,,,2,,,,2
200 block Ash St,,,,1,,,,1
200 block Ashdale Av,1,,1,1,,,2,5
200 block Ashworth Pl,,,,1,,,,1
200 block Austin Av,,,,1,,,,1
200 block Avery Av,,,,1,,,,1
200 block Baker Av,,,,1,,,,1
200 block Ballantyne Rd,,,,1,,,,1
200 block Barrett St,3,,,1,,,,4
200 block Barrington Rd,,,,1,,,,1
200 block Basin St,,,2,1,,,,3
200 block Beattie St,,,,1,,1,1,3
200 block Beecher St,,,1,1,,,,2
200 block Bellevue Av,1,,,1,,,,2
200 block Bennington Dr,,,,2,,,1,3
200 block Berkeley Dr,,,,1,,,,1
200 block Boyden St,,,,1,,,,1
200 block Brampton Rd,,,,1,,,,1
200 block Brattle Rd,,,,3,,,,3
200 block Brookford Rd,,,,1,,,,1
200 block Brooklea Pl,,,,2,,,1,3
200 block Bruce St,,,,1,,,,1
200 block Bryant Av,,,1,1,,,,2
200 block Buckingham Av,,,1,,,,,1
200 block Burnet Av,,,,1,,,,1
200 block Cadwell St,,,,1,,,,1
200 block Caleb Av,,,,,,,1,1
200 block Cambridge St,,,,2,,,,2
200 block Cannon St,,,1,,,,,1
200 block Carbon St,,,4,1,,,,5
200 block Carlton Rd,,,,1,,,,1
200 block Catherine St,,,1,,,,,1
200 block Chaffee Av,,,,1,,,,1
200 block Chavez Ter,1,,,1,,,,2
200 block Chemung St,,,,1,,,,1
200 block Cherry St,1,,,,,,,1
200 block Clarendon St,,,2,1,,,,3
200 block Coleridge Av,,,1,1,,,,2
200 block Comstock Av,,,4,8,,,,12
200 block Comstock Pl,,,,1,,2,,3
200 block Congress Av,,,,,,,2,2
200 block Conklin Av,,,1,2,,,1,4
200 block Craddock St,,,1,1,,,,2
200 block Crafton Av,,,,1,,,,1
200 block Craton St,,,1,,,,,1
200 block Crippen Av,,,1,,,,,1
200 block Croly St,,,,,,,1,1
200 block Dale St,,,,1,,,,1
200 block Delhi St,,,,1,,1,,2
200 block Delray Av,,,,2,,,,2
200 block Demong Dr,,,1,,,,,1
200 block Dewitt Rd,,,1,,,,,1
200 block Dewitt St,,,,1,,,,1
200 block Dorchester Av,,,1,1,,,,2
200 block Douglas St,,,1,,,,,1
200 block Duane St,1,,,1,,,,2
200 block Durston Av,,,,1,,,,1
200 block E Adams St,,1,,,,,,1
200 block E Belden Av,1,,,,,,,1
200 block E Cheltenham Rd,,,1,,,,,1
200 block E Fayette St,,,,1,,,,1
200 block E Genesee Pkwy,,,,1,,,,1
200 block E Jefferson St,1,,1,2,,,,4
200 block E Kennedy St,,,,1,,,,1
200 block E Onondaga St,,,,,,,1,1
200 block E Washington St,,,,3,,,,3
200 block E Water St,,,1,2,,,1,4
200 block East Av,,,,,,,1,1
200 block Eldorado St,,,,1,,,,1
200 block Elsner St,,,,,,,1,1
200 block Empire Av,,,2,1,,,,3
200 block Erickson St,,,1,,,,,1
200 block Erie Blvd E,,,,1,,,,1
200 block Erie St,,,,1,,,,1
200 block Essex St,,,1,,,,,1
200 block Euclid Av,,,,1,,,,1
200 block Fayette Blvd,,,1,1,,,,2
200 block Fellows Av,,,,1,,,,1
200 block Fenway Dr,,,1,,,,1,2
200 block Fillmore Av,1,,,1,,,,2
200 block Fitch St,1,,1,1,,,,3
200 block Forest Av,,,1,1,,,,2
200 block Forest Hill Dr,,,,1,,,,1
200 block Furman St,1,,2,,,1,,4
200 block Garfield Av,1,,,,,,,1
200 block Genesee Park Dr,1,,1,,,,,2
200 block Gere Av,,,,1,,,,1
200 block Gertrude St,,,,1,,,,1
200 block Gifford Pkwy,,,,1,,,,1
200 block Gilbert Av,,,2,,,,,2
200 block Gilbert St,,,1,,,,,1
200 block Glenwood Av,,,,2,,,,2
200 block Goodrich Av,,,,1,,,,1
200 block Gordon Av,,,,2,,,,2
200 block Grand Av,1,,1,1,,,,3
200 block Graves St,,,,1,,,,1
200 block Green St,,,,1,,,,1
200 block Griffiths St,,,1,2,,,,3
200 block Grumbach Av,1,1,2,,,,2,6
200 block Hall Av,1,,1,,,,,2
200 block Hampton Rd,,,1,,,,,1
200 block Harding St,,,,1,,,,1
200 block Harriette Av,,,1,,,,,1
200 block Harrison St,,,,4,,,,4
200 block Hastings Pl,,,,1,,1,,2
200 block Hawley Av,,,,1,,,,1
200 block Hayden Av,,,,1,,,,1
200 block Hazelhurst Av,,,1,,,,,1
200 block Helen St,,,1,1,,,,2
200 block Herald Pl,,,1,6,,,,7
200 block Herbert St,,,1,2,,,,3
200 block Herbst St,,,,1,,,,1
200 block Herkimer St,,,1,2,,,,3
200 block Herriman St,,,1,1,,,1,3
200 block Hiawatha Blvd E,,,,,,,1,1
200 block Hiawatha Blvd W,,,,1,,,,1
200 block Hickok Av,,,,1,,,,1
200 block Hier Av,,,2,3,,,,5
200 block Hillsboro Pkwy,,,1,,,,,1
200 block Hillsdale Av,,,,1,,,,1
200 block Hillside Av,,,,1,,,,1
200 block Hoefler St,1,,,,,,,1
200 block Holland St,1,,,2,,,1,4
200 block Homecroft Rd,,,1,,,,,1
200 block Hood Av,,,1,,,,,1
200 block Hope Av,,,2,,,,,2
200 block Hubbell Av,,,1,,,,1,2
200 block Hudson St,,,,1,,,,1
200 block Hunt Av,,,1,2,,,,3
200 block Hurlburt Rd,,,2,,,,,2
200 block Hutchinson Av,,,,1,,,,1
200 block James St,,,,,,,1,1
200 block Jamesville Av,,,,1,,,,1
200 block Kellogg St,,,1,,,,,1
200 block Kenmore Av,,,2,1,,,,3
200 block Kimber Av,,,,1,,,,1
200 block Kirk Av,1,,1,,,,,2
200 block Kirkpatrick St,,,,,,,1,1
200 block Knaul St,,,,,,1,,1
200 block Lafayette Rd,1,,1,,,,,2
200 block Lakeview Av,,,1,1,,,,2
200 block Landon Av,1,,1,,,,,2
200 block Lemoyne Av,,,,1,,,1,2
200 block Lewiston Dr,,,,1,,,,1
200 block Lexington Av,,,,1,,,,1
200 block Lilac St,,,,1,,,,1
200 block Lillian Av,,,,1,,,,1
200 block Lime St,1,,,,,,,1
200 block Lincoln Av,2,,,1,,,,3
200 block Lockwood Rd,,,,1,,,,1
200 block Longmeadow Dr,,,,1,,,,1
200 block Loomis Av,,,1,,,,,1
200 block Lorraine Av,,,1,2,,,,3
200 block Magnolia St,1,,1,6,,,1,9
200 block Maplehurst Av,,,,1,,,,1
200 block Marguerite Av,,,,1,,,,1
200 block Mariposa St,,,,1,,,,1
200 block Marshall St,,,,1,,,,1
200 block Martin Luther King   W,,1,1,,,1,,3
200 block Mary St,,,1,,,,,1
200 block Massena St,,,,,,2,,2
200 block Mather St,1,,1,1,,,,3
200 block May Av,,,,1,,,,1
200 block Melbourne Av,,,2,,,,,2
200 block Merriman Av,2,1,1,2,,,1,7
200 block Milburn Av,,,,1,,,,1
200 block Milburn Dr,,,1,2,,,,3
200 block Miles Av,,,,1,,,,1
200 block Milford Dr,,,,1,,,,1
200 block Milton Av,,,,1,,,1,2
200 block Mlk   E,1,,,1,,,,2
200 block Montgomery St,,,,2,,,1,3
200 block Monticello Dr  N,,,1,,,,,1
200 block Moore Av,,,1,2,,,,3
200 block Mosley Dr,,,1,,,,1,2
200 block Mountainview Av,,,,,,,1,1
200 block Myrtle St,,,,1,,,,1
200 block N Clinton St,,,,1,,,1,2
200 block N Crouse Av,,,,1,,,,1
200 block N Edwards Av,,,3,1,,,,4
200 block N Franklin St,,,,1,,,,1
200 block N Geddes St,,,1,,,,,1
200 block N Lowell Av,,,,1,,,,1
200 block N State St,1,,2,10,,,,13
200 block N Townsend St,,,2,2,,,,4
200 block North Av,,,1,1,,,,2
200 block Norwood Av,,,1,,,,,1
200 block Oak St,,,1,,,,,1
200 block Oakwood Av,,,1,,,1,,2
200 block Oneida St,2,,,1,,,,3
200 block Onondaga Av,,,,,,,1,1
200 block Ostrom Av,,,2,2,,,,4
200 block Parkway Dr,,,,1,,,,1
200 block Pattison St,,,2,,,,,2
200 block Paul Av,,,,2,,,,2
200 block Plymouth Dr,,,2,,,,,2
200 block Primrose Av,,,,2,,,,2
200 block Pulaski St,,,1,,,,,1
200 block Putnam St,1,,2,,,,1,4
200 block Reed Av,,,,1,,,,1
200 block Ridgewood Dr,,,,1,,,,1
200 block Rigi Av,,,,1,,,,1
200 block Robert Dr,,,3,1,,,,4
200 block Roberts Dr,,,,1,,,,1
200 block Robineau Rd,,,,,,,1,1
200 block Rockland Av,,,1,,,,,1
200 block Ross Pk,,,,1,,,,1
200 block Rowland St,1,,,1,,,1,3
200 block Roxbury Rd,,,,1,,,,1
200 block Rugby Rd,,,,1,,1,,2
200 block S Beech St,,,1,,,,,1
200 block S Collingwood Av,,,1,1,,,,2
200 block S Edwards Av,,,,2,,,,2
200 block S Franklin St,1,,,1,,,,2
200 block S Geddes Sq,,,,,,,1,1
200 block S Geddes St,,,,1,,,,1
200 block S Midler Av,,,1,,,,,1
200 block S Salina St,,,1,5,,,,6
200 block S State St,,,,,,1,,1
200 block S Warren St,,,,6,,1,,7
200 block Sabine St,1,,,2,,,,3
200 block Scotholm Blvd,,,,1,,,,1
200 block Scottholm Blvd,,,1,,,,,1
200 block Scottholm Ter,,,,1,,,,1
200 block Searlwyn Rd,,,,1,,,,1
200 block Second North St,,,1,,,,,1
200 block Sedgwick Dr,,,,1,,,,1
200 block Sedgwick St,,,2,,,,,2
200 block Seneca Dr,,,4,1,,,,5
200 block Seneca St,,,1,,,1,,2
200 block Seventh North St,,,,1,,,,1
200 block Seward St,2,,,,,,,2
200 block Shonnard St,1,,,,,,1,2
200 block Shotwell Pk,,,,1,,,,1
200 block Slocum Av,,,,,,1,,1
200 block Solar St,,,,1,,,,1
200 block Stafford Av,,,2,,,,,2
200 block State Fair Blvd,,,,,,,1,1
200 block Strathmore Dr,,,2,,,,,2
200 block Strong Av,,,,1,,,,1
200 block Sunrise Dr,,,,2,,,,2
200 block Sunstruck Dr,,,,1,,,,1
200 block Taft Av,,,1,1,,1,,3
200 block Teall Av,,,,1,,,,1
200 block Tennyson Av,,,1,1,,,,2
200 block Tompkins St,,,,1,,,,1
200 block Towers Ln,1,,,,,,,1
200 block Ulster St,,,,,,1,,1
200 block Union Av,,,1,,,,,1
200 block Union Pl,,,,1,,,,1
200 block Valley Dr,,,,2,,,,2
200 block Van Buren St,,,,3,,,,3
200 block Vann St,,,1,1,,,,2
200 block Village Dr,,,1,2,,,1,4
200 block W Beard Av,,,1,,,,,1
200 block W Borden Av,,,,1,,,,1
200 block W Brighton Av,1,,,3,,1,,5
200 block W Calthrop Av,,,1,,,,1,2
200 block W Colvin St,1,,,1,,,,2
200 block W Corning Av,,,,2,,,1,3
200 block W Division St,,,,1,,,,1
200 block W Fayette St,,,,5,,,,5
200 block W Genesee St,,,,2,,1,2,5
200 block W Glen Av,1,,,,,,,1
200 block W Jefferson St,,,,8,,2,,10
200 block W Kennedy Ter,,,,1,,,,1
200 block W Lafayette Av,,,,2,,,,2
200 block W Marcellus St,,,1,,,,,1
200 block W Matson Av,,,,3,,,,3
200 block W Newell St,,,,2,,2,,4
200 block W Ostrander Av,,,2,1,,,,3
200 block W Seneca Tpke,,,2,,,,,2
200 block W Water St,,,,1,,,,1
200 block W Willow St,,,,1,,,,1
200 block Wainwright Av,,,1,,,,,1
200 block Wall St,,,,1,,,,1
200 block Walton St,,,,5,,,,5
200 block Warham St,,,,2,,,,2
200 block Warner Av,1,,1,,,,,2
200 block Washington Sq,1,,,2,,,,3
200 block Webster Av,,,,,,,1,1
200 block Wendell Ter,,,1,,,,,1
200 block Westminster Av,,,,,,,1,1
200 block Westmoreland Av,2,,,1,,,,3
200 block Westwood Rd,,,,1,,,,1
200 block Whitwell Dr,,,,1,,,,1
200 block Wilkinson St,,,2,4,,,1,7
200 block Willumae Dr,,,,1,,,,1
200 block Wilson St,,,1,,,,,1
200 block Wolf St,1,,,2,,,,3
200 block Woodbine Av,,,,1,,,,1
200 block Woodlawn Ter,,,1,,,,,1
200 block Woodruff Av,1,,,,,,,1
200 block Wyoming St,,,1,,,2,,3
2000 block Bellevue Av,1,,,1,,,,2
2000 block E Colvin St,,,,1,,,,1
2000 block E Fayette St,3,,1,6,,1,,11
2000 block E Genesee St,,,3,,,,,3
2000 block Erie Blvd E,,,,5,,,,5
2000 block Grant Blvd,,,,,,1,,1
2000 block James St,,,,1,,,,1
2000 block Lodi St,2,,1,1,,,1,5
2000 block Park St,1,,,5,,1,,7
2000 block S Salina St,1,,3,1,,,,5
2000 block South Av,1,,,,,,,1
2000 block Teall Av,,,,,,1,,1
2100 block E Fayette St,1,,2,,1,1,,5
2100 block E Genesee St,,,1,,,,,1
2100 block Erie Blvd E,,,2,1,,,,3
2100 block Grant Blvd,,,1,,,,1,2
2100 block Midland Av,,,1,,,,,1
2100 block Park St,,,4,2,,,,6
2100 block S Geddes St,,,,1,,,,1
2100 block S Salina St,,,,2,,,,2
2100 block S State St,1,,,1,,,,2
2200 block E Fayette St,,,,1,,,,1
2200 block E Genesee St,1,,,,,,,1
2200 block Erie Blvd E,,,1,,,,,1
2200 block Lodi St,,,,,,1,,1
2200 block Midland Av,1,,,,,,,1
2200 block S Salina St,,,,1,,1,,2
2200 block Valley Dr,,,,1,,,1,2
2300 block Burnet Av,,,1,,,,,1
2300 block E Fayette St,1,,,,,,2,3
2300 block E Genesee St,,,1,1,,,,2
2300 block Erie Blvd E,,,,1,,,,1
2300 block Grant Blvd,1,,,1,,,,2
2300 block James St,,,,1,,,,1
2300 block Lodi St,,1,,1,,,,2
2300 block Midland Av,1,,2,,,,,3
2300 block S State St,,,1,,,,,1
2400 block E Genesee St,1,,,,,,,1
2400 block Erie Blvd E,,,,1,,,,1
2400 block Grant Blvd,1,1,,4,,,,6
2400 block James St,1,,,5,,3,,9
2400 block Lodi St,,1,,1,,1,1,4
2400 block Midland Av,,,1,,,,1,2
2400 block S Salina St,2,,,1,,,,3
2400 block South Av,,1,,,,,,1
2400 block South Ave,,1,,,,,,1
2500 block Bellevue Av,,,1,,,,,1
2500 block Erie Blvd E,,,1,27,,,,28
2500 block James St,,,,4,,,,4
2500 block Lodi St,,,1,,,,,1
2500 block Valley Dr,,,3,,,,,3
2600 block Burnet Av,,,,1,,,2,3
2600 block E Fayette St,,,,,,,1,1
2600 block E Genesee St,,,1,,,,,1
2600 block Erie Blvd,,,,,,1,,1
2600 block Erie Blvd E,1,,2,7,,,,10
2600 block Lodi St,,,,1,,,1,2
2600 block Midland Av,,,2,,,1,,3
2600 block S Salina St,,,3,1,,1,,5
2700 block Burnet Av,,,,1,,,,1
2700 block Erie Blvd E,,,2,5,,,,7
2700 block James St,3,,2,2,,1,,8
2700 block Lodi St,,,,2,,,,2
2700 block Midland Av,1,,,,,,,1
2800 block Burnet Av,,,1,,,,,1
2800 block E Genesee St,,,1,1,,,,2
2800 block Erie Blvd E,,,2,1,,,,3
2800 block James St,,,,1,,,,1
2800 block S Salina St,,,1,2,,,,3
2900 block Burnet Av,,,1,,,,,1
2900 block E Genesee St,,,1,3,,,,4
2900 block Erie Blvd,,,,1,,,,1
2900 block Erie Blvd E,,,3,5,,,,8
2900 block James St,,,,8,,1,,9
2900 block S Salina St,1,,1,1,,,,3
300 block Allen St,,,,6,,,2,8
300 block Apple St,,,1,1,,,,2
300 block Arlington Av,,,1,,,,,1
300 block Arthur St,,,1,,,,,1
300 block Ash St,,,,3,,,,3
300 block Ashdale Av,,,1,,,,,1
300 block Audobon Pkwy,,,,1,,,,1
300 block Audubon Pkwy,,,,3,,,1,4
300 block Avery Av,,,,2,,,,2
300 block Baker Av,1,,1,,,,,2
300 block Ballantyne Rd,,,,,,,1,1
300 block Barrington Rd,,,1,1,,,,2
300 block Basin St,,,2,,,,,2
300 block Bear St,,,1,2,,,,3
300 block Beattie St,,,,1,,,,1
300 block Beecher St,,,,1,,,,1
300 block Bellevue Av,,,,,,,1,1
300 block Broad St,,,1,,,,,1
300 block Bruce St,2,,,,,,,2
300 block Bryant Av,,,,,,,1,1
300 block Buckingham Av,,,1,1,,,,2
300 block Burdick Av,,,1,1,,,,2
300 block Burnet Av,,,,1,,,,1
300 block Burt St,,,1,2,,1,,4
300 block Butternut St,,,1,,,,,1
300 block Cannon St,4,,,1,,,,5
300 block Carbon St,,,1,2,,,,3
300 block Catherine St,,,2,4,,,,6
300 block Cayuga St,,,1,,,,,1
300 block Clairmonte Av,,,,6,,,,6
300 block Cleveland Av,,,1,,,,,1
300 block Columbus Av,1,,1,2,,,,4
300 block Comstock Av,,,1,2,,,,3
300 block Coolidge Av,1,,,,,,1,2
300 block Cortland Av,,,2,,,,,2
300 block Court St,6,,4,1,,2,1,14
300 block Craddock St,,,,,,,1,1
300 block Craig St,,,1,1,,,,2
300 block Crawford Av,,,1,,,,,1
300 block Crossett St,2,,,,,,,2
300 block Darlington Rd,,,,,,,1,1
300 block Delaware St,,,,1,,,,1
300 block Dewitt St,,,1,,,,,1
300 block Durston Av,,,,1,,,,1
300 block E Brighton Av,,,2,1,,,,3
300 block E Division St,,,1,,,,,1
300 block E Fayette St,,,,1,,,,1
300 block E Florence Av,,,1,1,,,,2
300 block E Onondaga St,1,,,1,,,,2
300 block E Washington St,,,,1,,,,1
300 block E Willow St,,,,1,,,,1
300 block Elm St,1,,2,2,,2,1,8
300 block Erie Blvd E,1,,,,,,,1
300 block Erie St,,,3,,,,,3
300 block Essex St,,,1,,,,,1
300 block Euclid Av,,,,4,,,,4
300 block Eureka St,,,,1,,,,1
300 block Fabius St,,,1,1,,,1,3
300 block Fayette Blvd,,,,1,,,,1
300 block Fellows Av,,,,2,,,,2
300 block Ferndale Dr,,,1,,,,,1
300 block First North St,,,2,,,,,2
300 block Fitch St,2,,,,,,,2
300 block Forest Hill Dr,,,,1,,,,1
300 block Furman St,,,2,3,,,,5
300 block Garfield Av,,,1,,,,,1
300 block Genesee Park Dr,,,1,,,,,1
300 block Gertrude St,,,,2,,1,,3
300 block Gertude St,,,1,,,,,1
300 block Gifford St,,,,1,,,,1
300 block Glenwood Av,,,,1,,,,1
300 block Goodrich Av,,,1,,,,,1
300 block Grant Av,,,1,1,,,,2
300 block Green St,2,,,,,,3,5
300 block Greenwood Pl,,,,1,,,,1
300 block Griffiths St,,,,2,,,,2
300 block Hamilton St,1,,,2,,,,3
300 block Hartson St,,,,1,,,,1
300 block Hawley Av,,,,4,,,,4
300 block Hazelhurst Av,,,,1,,,,1
300 block Helen St,,,,2,,,,2
300 block Herbert St,,,1,1,,,,2
300 block Herkimer St,,,,1,,,,1
300 block Hiawatha Blvd,,,,,,,1,1
300 block Hiawatha Blvd W,,,,2,,,,2
300 block Hickok Av,,,,1,,,,1
300 block Highland Av,,,,1,,,1,2
300 block Highland St,1,,,,,,,1
300 block Hillsdale Av,,,1,1,,,,2
300 block Hixson Av,,,1,1,,,,2
300 block Hood Av,1,,,,,,,1
300 block Hudson St,1,,4,1,,,,6
300 block Jamesville Av,1,,1,3,,,,5
300 block John St,,,,1,,,1,2
300 block Kellogg St,1,,2,2,,,,5
300 block Kenwood Av,,,,1,,,,1
300 block Kimber Rd,,,,2,,,,2
300 block Kinne St,,,,1,,,,1
300 block Knaul St,,,,1,,,,1
300 block Kramer Dr,,,3,,,,,3
300 block Lemoyne Av,1,,,,,1,,2
300 block Lennox Av,,,1,,,,,1
300 block Lewis St,,,1,1,,,,2
300 block Lewiston Dr,,,,2,,,,2
300 block Lexington Av,,,,4,,,,4
300 block Lillian Av,,,1,1,,,,2
300 block Loma Av,,,,1,,,,1
300 block Lynch Av,,,,1,,,,1
300 block Mains Av,,,1,,,,,1
300 block Marcellus St,,,,1,,,,1
300 block Marguerite Av,2,,,,,,,2
300 block Marshall St,,,,1,,,,1
300 block Martin Luther King   W,,,1,,,,,1
300 block Melrose Av,,,1,,,,,1
300 block Merriman Av,1,,1,1,1,2,,6
300 block Merritt Av,,,,1,,,,1
300 block Mertens Av,,,,1,,,,1
300 block Midland Av,,,1,,,1,,2
300 block Milburn Dr,,,1,,,,,1
300 block Montgomery St,,,2,8,,1,,11
300 block Mount Olympus Dr,,,1,,,,,1
300 block Mountainview Av,,,,1,,,,1
300 block Myrtle St,,,,,,,1,1
300 block N Beech St,1,,1,,,,,2
300 block N Clinton St,,,,6,,,,6
300 block N Collingwood Av,,,,1,,,,1
300 block N Crouse Av,,,,2,,,,2
300 block N Mcbride St,,,,,,,1,1
300 block N Midler Av,,1,4,6,,1,1,13
300 block N Salina St,,,2,4,1,1,,8
